"","Gene.Symbol","ProbeID.x","logFC.x","AveExpr.x","t.x","P.Value.x","adj.P.Val.x","B.x","ProbeID.y","logFC.y","AveExpr.y","t.y","P.Value.y","adj.P.Val.y","B.y","ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","fisher_stat","df","fisher_p","adj_fisher_p"
"3947","TUBB","209026_x_at",-1.59791493128337,7.36560881670222,-10.7040407164736,1.48225548679239e-20,9.42352543492719e-18,36.1038449228087,"211714_x_at",0.359266701895836,11.7352229861184,5.75859643013088,2.44044943822742e-08,8.94913300034101e-07,8.78432282550479,"8117995",-0.148721121911798,12.4933220916722,-2.90768221894557,0.00468207314241066,0.0430660191775822,-2.3095591340187,137.101299536447,6,4.09725726238812e-27,2.62476603701295e-24
"1288","FBXO9","210638_s_at",-0.858122195473877,7.29086141893448,-9.45613423290601,3.6057073807081e-17,5.88483734448405e-15,28.4731069578633,"1566509_s_at",0.555156015814301,8.87418404304112,6.82821276550788,6.30413180618267e-11,1.64132574525256e-08,14.4684627340069,"8120251",-0.221818629413862,9.21177539795904,-3.4287041371153,0.000951059079484952,0.0155493453734594,-0.886990374334925,136.613187486734,6,5.19317285210653e-27,2.98267196636849e-24
"2467","NRXN3","215021_s_at",-1.39706377218147,5.90341596740539,-9.3757367572752,5.91201900092814e-17,8.88020985922379e-15,27.989369777816,"215020_at",0.71357244504599,8.55769219255176,6.45209767786731,5.54288315701486e-10,6.63144719058616e-08,12.3906685426169,"7976012",-0.360545757299395,10.9447389881366,-4.21921010112734,6.2847434153155e-05,0.00285099593323924,1.58743484387923,136.710191542183,6,4.95422960997194e-27,2.98267196636849e-24
"2895","PSMB2","200039_s_at",-1.31626311970348,7.11626036040607,-10.3213423653308,1.6533252475521e-19,6.59821590583291e-17,33.7429497073449,"238425_at",-0.132539314110569,5.87580573961195,-5.48011745890393,1.02302026663428e-07,2.56458656938236e-06,7.42375069854194,"7914834",-0.206605440950039,10.4748516847982,-4.02166894842331,0.000127791384151672,0.0044088673953537,0.936902947045353,136.613551987148,6,5.19225378306746e-27,2.98267196636849e-24
"1036","DZIP3","207232_s_at",-1.31148081977835,5.00954361335491,-11.20567969995,6.15692446200142e-22,9.09810391783589e-19,39.2179416910442,"207232_s_at",0.268179790523636,8.12641241898511,5.18591156389738,4.39301671296954e-07,7.70822171956385e-06,6.0440561830132,"8081503",-0.16236253664248,9.50012409747968,-2.62111090438784,0.0104420206934206,0.0711600415531774,-3.01161975987327,136.078582624833,6,6.73232370999848e-27,3.50417449105421e-24
"2414","NIPSNAP1","201709_s_at",-0.61688254178884,7.81121569896769,-9.92516217039095,1.97231980699922e-18,5.4462921943274e-16,31.316574626607,"201708_s_at",0.414254522822805,8.28500279999509,6.47746913699036,4.79926102136633e-10,6.01833936566982e-08,12.528230270908,"8075263",-0.124111981831605,9.57156152571447,-3.06457397562404,0.00294961691966235,0.0322645842884353,-1.9003727251496,136.101580418983,6,6.65756949627824e-27,3.50417449105421e-24
"4155","YWHAZ","200640_at",-1.89649856924675,8.58253306902157,-8.83492342792646,1.59322882321564e-15,1.48398272417913e-13,24.7680447528914,"200641_s_at",0.713821023641765,10.9583430969719,6.35873861620159,9.38660001956276e-10,9.55702711489002e-08,11.8878014690087,"8152096",-0.251489945149265,11.7049137127455,-5.14664563133682,1.77997520625823e-06,0.000382373125437291,4.88062880900746,136.196985283418,6,6.35621415171916e-27,3.50417449105421e-24
"762","COL27A1","225293_at",1.68625751968579,6.41322804368906,11.97894269998,4.43775300971507e-24,2.42634145806171e-20,44.0459023094975,"225293_at",-0.342248354884219,8.08208806021633,-4.73120968719804,3.70699456191379e-06,3.88946320615307e-05,4.03349595848513,"8157383",0.0467919677893942,7.86801316952637,1.30438487694231,0.195749526652067,0.407502107219012,-5.39605455334354,135.816205050841,6,7.64694270902852e-27,3.74610228710527e-24
"2244","MT1M","217546_at",1.5266020479261,5.50609733700827,10.3867365668358,1.09610215922136e-19,4.75630044090699e-17,34.1452868230885,"217546_at",-0.854194253757566,9.68471859751682,-5.96030513261915,8.37312891039736e-09,4.30668695367804e-07,9.80187408886331,"7995787",0.353414799246067,10.5744153428933,3.01483505468415,0.00342081343431735,0.0353955329156199,-2.03194338231442,135.866942959026,6,7.46087716834047e-27,3.74610228710527e-24
"48","ACTR1A","200720_s_at",-1.29504004532177,5.04014678767902,-10.4053888258777,9.74760179945248e-20,4.29798490633117e-17,34.2601316047039,"200720_s_at",0.390481695411582,9.41194412805206,5.69723441693087,3.3614714197382e-08,1.11675485277172e-06,8.48006262320822,"7936028",-0.151983377909508,10.4690236924596,-3.35160136334508,0.0012167844386684,0.0182995806026837,-1.10873962736507,135.389052247089,6,9.40907954891961e-27,4.04698828700435e-24
"306","ATP5B","201322_at",-1.6744743548195,8.35787788795869,-10.083795524298,7.32727215593049e-19,2.33168267724782e-16,32.2856923536863,"201322_at",0.3203311888294,11.9512020913501,5.00166394826942,1.06122974362098e-06,1.49890819510403e-05,5.21119881144573,"7964234",-0.282607556589635,12.0910843477779,-4.89056180996976,4.93087675925814e-06,0.000659872372954532,3.93581018756944,135.467178798041,6,9.05890812649397e-27,4.04698828700435e-24
"1017","DTNA","227084_at",1.39778961200757,10.3421421905769,9.77269272573344,5.09159414528727e-18,1.18460812720673e-15,30.3884612871153,"210091_s_at",-0.537172488371827,9.32786803507271,-6.27981454130238,1.45926215810222e-09,1.29731965031282e-07,11.466796881963,"8020847",0.23940026023752,11.1741388247703,3.61244902640001,0.000521342654773407,0.0105440675540032,-0.343710067959878,135.44675729315,6,9.14916189782716e-27,4.04698828700435e-24
